player_name,id,date_of_birth,place_of_birth,country_of_birth,town_of_birth,height_cm,weight_kg,position,awards_cnt,RG,RA,RTP,RPM,RGD,RGAA,RSO,RGA,RTOI,RS,RPLMI,RWR,ARSP,PSG,PSA,PSTP,PSPM,PSGD,PSGAA,PSSO,PSGA,PSTOI,PSS,PSPLMI,PSWR,APSSP,lng,lat
Aaron Palushaj,12513,1989-09-07,"Livonia, MI, USA",USA,Livonia,183,87,RW/LW,5,0.2825361512791991,0.4660734149054505,0.7486095661846496,0.8008898776418243,0.0,0.0,0.0,0.0,0.0,0.0,0.058954393770856504,0.0,0.0,0.25,0.4868421052631579,0.7368421052631579,0.9342105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,42.36837,-83.3527097
Adam Almquist,10378,1991-02-27,"Jönköping, SWE",SWE,Jonkoping,181,77,D,31,0.09886363636363636,0.3795454545454545,0.4784090909090909,0.6477272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.08522727272727272,0.0,0.0,0.10434782608695652,0.3217391304347826,0.4260869565217391,0.8782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,57.7825634,14.165719
Adam Cracknell,14459,1985-07-15,"Prince Albert, SK, CAN",CAN,Prince Albert,191,98,RW/C,1,0.27765881513204854,0.3468950749464668,0.6245538900785154,0.6259814418272662,0.0,0.0,0.0,0.0,0.0,0.0,0.03997144896502498,0.0,0.0,0.33884297520661155,0.3884297520661157,0.7272727272727273,0.2975206611570248,0.0,0.0,0.0,0.0,0.0,0.0,-0.04132231404958678,0.0,0.0,53.201097,-105.748901
Adam Deutsch,86175,1995-05-22,"Gävle, SWE",SWE,Gavle,184,86,D,4,0.11805555555555555,0.23148148148148148,0.34953703703703703,0.44675925925925924,0.0,0.0,0.0,0.0,0.0,0.0,0.12962962962962962,0.0,0.0,0.15384615384615385,0.28205128205128205,0.4358974358974359,0.41025641025641024,0.0,0.0,0.0,0.0,0.0,0.0,-0.02564102564102564,0.0,0.0,60.6750132,17.1467019
Adam Helewka,119394,1995-07-21,"Burnaby, BC, CAN",CAN,Burnaby,188,93,LW/C,3,0.39212827988338195,0.4650145772594752,0.8571428571428571,0.6326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.05830903790087463,0.0,0.0,0.34177215189873417,0.43037974683544306,0.7721518987341772,0.6582278481012658,0.0,0.0,0.0,0.0,0.0,0.0,-0.379746835443038,0.0,0.0,49.2433804,-122.972545
Adam Húska,201638,1997-05-12,"Zvolen, SVK",SVK,Zvolen,192,80,G,8,0.0,0.0,0.0,0.0,0.13186813186813187,0.3167032967032967,0.02197802197802198,1.8983516483516483,0.6748626373626374,0.18076923076923077,0.0,0.41735537190082644,0.882483870967742,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.75,0.2833333333333333,0.069375,0.0,0.25,0.898,48.5782517,19.1247135
Adam Janosik,34749,1992-09-07,"Spisska Nova Ves, SVK",SVK,Spisska Nova Ves,180,83,D,2,0.08408408408408409,0.21121121121121122,0.2952952952952953,0.7697697697697697,0.0,0.0,0.0,0.0,0.0,0.0,-0.008008008008008008,0.0,0.0,0.13846153846153847,0.23076923076923078,0.36923076923076925,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.1076923076923077,0.0,0.0,48.9435344,20.562964
Adam Liska,269279,1999-10-14,"Bratislava, SVK",SVK,Bratislava,181,83,LW,4,0.22495606326889278,0.2688927943760984,0.4938488576449912,0.15817223198594024,0.0,0.0,0.0,0.0,0.0,0.0,-0.01054481546572935,0.0,0.0,0.2191780821917808,0.5068493150684932,0.726027397260274,0.410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0821917808219178,0.0,0.0,48.1516988,17.1093063
Adam Masuhr,41,1983-05-21,"Gävle, SWE",SWE,Gavle,183,86,D,10,0.11819727891156463,0.2100340136054422,0.3282312925170068,0.5195578231292517,0.0,0.0,0.0,0.0,0.0,0.0,-0.06717687074829932,0.0,0.0,0.10416666666666667,0.2222222222222222,0.3263888888888889,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.006944444444444444,0.0,0.0,60.6750132,17.1467019
Adam Munro,10846,1982-11-12,"St. George, ON, CAN",CAN,Saint George,186,96,G,9,0.0,0.0,0.0,0.0,0.4476650563607085,0.15061191626409018,0.04186795491143317,2.752012882447665,0.89723564143854,0.23877616747181965,0.0,0.47201492537313433,0.8672,0.0,0.0,0.0,0.0,0.14285714285714285,1.2821428571428573,0.023809523809523808,2.9761904761904763,0.8793650793650792,0.28214285714285714,0.0,0.4722222222222222,0.8953333333333333,12.0535331,-61.751805
